88,Luther,Norris,"Ringvej 99",Qaqortoq,Greenland
89,Florence,Edwards,"C/ Henan Cortes 54","Humanes de Madrid",Spain
90,Lynn,Taber,"P.O. Box 159",Qeqertarsuaq,Greenland
91,Joyce,Adams,"Luebecker Strasse 55",Beratzhausen,Germany
92,William,Brogdon,"Osvobození 401",Chotebuz,"Czech Republic"
93,Jeanine,Eichelberger,"Kilen 32","Århus C",Denmark
94,Harold,Schoenberg,"Konstanzer Strasse 79",Waldaschaff,Germany
95,Lynn,Bruce,"Zürichstrasse 124",Baden,Switzerland
96,Eva,Perez,"R Calvário 35",Carção,Portugal
97,Timothy,Herron,"Wassergasse 17",NEUSACH,Austria
98,Camille,Conner,"Svendborg Landevej 27","København K",Denmark
99,Ricky,Ellison,"2436 Oost St",Witbank,"South Africa"
100,Horace,Fiore,"Masina 99",Koidu,Estonia
101,Brandon,Berg,"Carretera 76","Priego de Córdoba",Spain
102,Lillian,Schrupp,"18 Nenthead Road","HIGH ETHERLEY","United Kingdom"
103,William,Nowicki,"Postbox 144",Kangilinnguit,Greenland
104,Carol,Arnold,"4187 Port Washington Road",Enchant,Canada
105,Gabrielle,Freeman,"Alkmaarseweg 156",Beverwijk,Netherlands
106,Steven,Hull,"105 Rue de la Nouvelle Delhi","Cite Nouvelle Kerkouan",Tunisia
107,Dale,Conrad,"Tyršova 1735",Slavonice,"Czech Republic"
108,Joseph,Ward,"3071 Hart Street","East Hartford","United States"
109,Constance,Arthur,"Via Lagrange 113",Valdagno,Italy
110,Thomas,Ratliff,"Kluuvikatu 38",VANTAA,Finland
111,Clara,Little,"Tienne à Many 164",Ham-sur-Heure/Nalinnes,Belgium
112,Roy,Schick,"Massbyntie 16",KERAVA,Finland
113,Jeffrey,Douglas,"Via Alessandro Manzoni 140",Cecima,Italy
114,Shaun,Townsend,"Dreiheiligenstrasse 36",HIMMELREICH,Austria
115,Christopher,Shaver,"Avenida Cavaleiros de São Paulo 1749","São Paulo",Brazil
116,Kimberly,Peeler,"Letališka 23",Idrija,Slovenia
117,Martha,Greenstein,"17 Barker Street",WOOGENELLUP,Australia
118,Hubert,Payne,"Školní 263","Veselí nad Lužnicí 1","Czech Republic"
119,Andres,Shatley,"Linnankatu 79",ESPOO,Finland
120,Scott,Knight,"Školní 1044","Veselí nad Lužnicí 1","Czech Republic"
121,Frederick,Clay,"2330 Devenish St",Nelspruit,"South Africa"
122,Jerry,Decker,"Toftvej 67","København K",Denmark
123,Francis,Saunders,"91 Dora Creek","REPENTANCE CREEK",Australia
124,Richard,Hixson,"Stradone Antonio Provolo 109",Amelia,Italy
125,David,Jackson,"Dreiheiligenstrasse 93",HIMBERG,Austria
126,Mark,Wakefield,"Sankt Georgener Hauptstrasse 25",UNTERGRAFENBACH,Austria
127,Margaret,Middlebrooks,"43 Akti Kanari Street",Nikokleia,"Cyprus (Anglicized)"
128,Jeff,McNeely,"1723 Mesa Drive","Las Vegas","United States"
129,Bonnie,Wasser,"7 Balonne Street",DEAUVILLE,Australia
130,Orville,Love,"Sandviken 69",GLANSHAMMAR,Sweden
131,Aurelio,Green,"Ægissiða 82",Grenivík,Iceland
132,Antione,Gassett,"105 Avenue El Ghofrane","Cite Snit Nouvelle",Tunisia
133,Ernie,Whorton,"Koskikatu 94",ESPOO,Finland
134,Robert,Davis,"15 Tooraweenah Road",WIRRINYA,Australia
135,Maureen,Bradford,"60 N. Stadion",Larnaka,"Cyprus (Anglicized)"
136,Michele,McKay,"1361 Wit Rd",Johannesburg,"South Africa"
137,Kathleen,Staples,"32 Cambridge Street",MAROOTA,Australia
138,Betty,Lee,"154 Daniels Road",Casebrook,"New Zealand"
139,Oscar,Roman,"54 Sanders Avenue",Moturoa,"New Zealand"
140,Jose,Mize,"467 49th Avenue","Sachs Harbour",Canada
141,Ed,Bierman,"Vorkweg 90","Alphen aan den Rijn",Netherlands
142,Moses,Taylor,"Ilichova 75",Ljubljana,Slovenia
143,Antwan,Jimenez,"Schweigårds vei 102",BERGEN,Norway
144,Scott,Siebert,"Gabbroveien 215",STAVANGER,Norway
145,James,Hebert,"Slipager 65","København K",Denmark
146,Oscar,Thornton,"18 Endeavour Drive",MOODY,Australia
147,Cynthia,Weems,"Alte Poststrasse 14",HAID,Austria
148,Diane,McGuire,"131 Ihakara Street","Nikau Valley","New Zealand"
149,Brenda,Jackson,"Budapester Straße 94",Braunfels,Germany
150,Lillian,Carlton,"Za humny 1118","Bernartice u Milevska","Czech Republic"
151,Betty,Bunch,"Vanhamaantie 52",KOTKA,Finland
152,Haydee,Bosserman,"Casut 41","Li Curt",Switzerland
153,Tony,Quinones,"46 Stone Cellar Road",KINGTHORPE,"United Kingdom"
154,Mike,Dawson,"2137 Reserve St",Kirkfield,Canada
155,Chelsie,Summers,"Hersnapvej 2","København K",Denmark
156,Michael,Bonner,"Møllers gate 10",SANDEFJORD,Norway
157,Mary,McColl,"Koskikatu 65",ESPOO,Finland
158,Elizabeth,Hatfield,"Vestergade 66","København V",Denmark
159,Bernard,Fields,"Tavcarjeva 60",Šmarje,Slovenia
160,Cynthia,Ruiz,"Via Rocca de Baldi 58",Capistrano,Italy
161,Stephen,Law,"χλμ Αλεξανδρούπολης 94",ΜΟΡΦΟΥ,"Cyprus (Greek)"
162,Marco,King,"Družstevní 530",Blovice,"Czech Republic"
163,Angela,Bullard,"Brisas 4532","María Albina",Uruguay
164,Judy,Davis,"83 Kleisthenous Street",Vavla,"Cyprus (Anglicized)"
165,Barbara,Hollaway,"Machelsesteenweg 121",Montroeul-sur-Haine,Belgium
166,Warren,Jones,"Rua Mercúrio 1737","São Caetano do Sul",Brazil
167,Jennifer,Franklin,"Χαριλάου Τρικούπη 156","ΛΑΤΣΙΑ (ΛΑΚΚΙΑ)","Cyprus (Greek)"
168,Teddy,Schofield,"Democracia 1364","Las Vegas",Uruguay
169,Michael,Kinslow,"74 Academy Street","BERRICK SALOME","United Kingdom"
170,Judith,Rodgers,"Rua Camaragibe 1532",Natal,Brazil
171,Kelly,Waddell,"Lesní 1747",Tatenice,"Czech Republic"
172,Mark,Lenihan,"Bem rakpart 11.",Jéke,Hungary
173,Jessie,Martin,"P.O. Box 297",Pituffik,Greenland
174,Rosa,Williams,"Kärntner Strasse 81",HASLING,Austria
175,Kathy,Niebuhr,"Purje 24",Põhara,Estonia
176,Jessica,Rodriguez,"Kangasmoisionkatu 36",JYVÄSKYLÄ,Finland
177,Warren,Woods,"Engøyholmen 95",HUNDVÅG,Norway
178,Sheila,Dilday,"118 Rue Ibn Al Khatib","Cite El Houda",Tunisia
179,Pauline,Hauck,"Anders Sadelmakares Gränd 59",ÖSTERBYMO,Sweden
180,Mark,Harbour,"Üerklisweg 40",Brülisau,Switzerland
181,Clarence,Steele,"Neruda 1414",Soca,Uruguay
182,Dani,Candler,"Vøyensvingen 9",OSLO,Norway
183,Janet,Correa,"Slovenčeva 16",Dragatuš,Slovenia
184,Theresa,Taylor,"77 Devon Street",WAYVILLE,Australia
185,Jesse,Martinez,"Kieler Strasse 78",Burgkirchen,Germany
186,Michael,Hetherington,"Austurgata 11",Höfn,Iceland
187,Wayne,Gonzalez,"75 Woerdens Road",MUSWELLBROOK,Australia
188,Marcus,Gamble,"2011 Heuvel St",Sterkspruit,"South Africa"
189,Barbara,Meyer,"Alvaro Cunqueiro 25",Sepúlveda,Spain
190,Charles,McAdory,"Via Giotto 90",Terrossa,Italy
191,Amy,Wilkinson,"Slovenčeva 106",Fram,Slovenia
192,Debra,Wiley,"ul. Jantarowa 146",Koszalin,Poland
193,Phyllis,Skinner,"616 Rockford Mountain Lane","Green Bay","United States"
194,Oscar,Hopkins,"19 Rue Gafsa","Cite 7 Novembre",Tunisia
195,Clara,Wycoff,"Broekhoek 83",Heesch,Netherlands
196,James,Peachey,"Bahnhofstrasse 59",Glarus,Switzerland
197,Sandra,Hunter,"Λεωφόρος Βασ. Γεωργίου 118",ΜΑΑ,"Cyprus (Greek)"
198,Joseph,Anderson,"69 rue des Dunes",SAINT-MAUR-DES-FOSSÈS,France
199,Lawrence,Stewart,"Via Galvani 79","Tomba Di Nerone",Italy
200,Karen,Davis,"Üerklisweg 111",Brunnenthal,Switzerland
201,Lillian,Stanford,"Binzmühlestrasse 90",Salvenach,Switzerland
202,Margaret,Albert,"238 Eleftherias Street",Pyla,"Cyprus (Anglicized)"
203,Donna,Kranz,"Comandante Izarduy 12",Martorell,Spain
204,Randy,Arend,"Hlégerði 30",Hnífsdalur,Iceland
205,Dorothy,Simpson,"R Palmeira 19","Mira de Aire",Portugal
206,Martin,Jones,"ul. Centralna 91",Wrocław,Poland
207,Mayra,McGowan,"3516 Gorham Street",London,Canada
208,Sara,Cook,"Lebzeltergasse 3",THALL,Austria
209,Evelyn,Reiff,"Møllevænget 88",Valby,Denmark
210,Joanne,Demartini,"191 Garafraxa St","Lion's Head",Canada
211,James,Pugh,"57 Thornton St",HURST,"United Kingdom"
212,Edythe,McFarland,"10 Kauri Street",Flaxmere,"New Zealand"
213,Bradley,Owens,"130 Rue D'Eljem","Cite Ouvriere",Tunisia
214,Jamie,Harrison,"Bissingzeile 28",Axstedt,Germany
215,Evelyn,Vasquez,"Marktplatz 68",RIED,Austria
216,Robert,Rodriquez,"Liisankatu 78",SAVONLINNA,Finland
217,Cathy,Saunders,"Kopfhölzistrasse 147","Le Jordil",Switzerland
218,Annette,Nix,"Σκαφίδια 294",ΠΕΝΤΑΚΩΜΟ,"Cyprus (Greek)"
219,Evelyn,Lavalley,"766 Voortrekker St",Dormerton,"South Africa"
220,Laura,Soules,"82 Spilman Street",GRAIN,"United Kingdom"
221,Mildred,Wagoner,"Travessa Aluízio Bezerra 950",Natal,Brazil
222,Carla,Thompson,"Populierenstraat 323",Aaigem,Belgium
223,Loretta,Saldivar,"Serenade Opus 255",Vreren,Belgium
224,Daniel,Huerta,"Rigoberto Lopez 9608",Shangrila,Uruguay
225,Kenneth,Ard,"95 Woodwark Crescent",DANBULLA,Australia
226,Cherri,Andre,"4309 Tycos Dr",Toronto,Canada
227,Pedro,Graham,"Raas van Gaverestraat 389",Cour-sur-Heure,Belgium
228,Brent,Silva,"R Desidério Bessa 86","Cruz Quebrada",Portugal
229,Daniel,Tucci,"Puruntie 36",LAPPEENRANTA,Finland
230,Jolene,Krebs,"Postbox 221",Kangilinnguit,Greenland
231,Isaiah,Araiza,"52 Cassinia Street","PINE LODGE",Australia
232,Matthew,Boyd,"Via delle Viole 40","San Donato",Italy
233,Linda,Reyes,"1301 Willow Oaks Lane","Lake Charles","United States"
234,Wendy,Carpenter,"Kangasmoisionkatu 66",JYVÄSKYLÄ,Finland
235,William,Carbone,"Burgemeester Kuyperlaan 36",Valkenswaard,Netherlands
236,Patricia,Quijada,"Luite tee 32",Vetla,Estonia
237,Janet,Panton,"Rua Ursa Maior 127","Jaboatão dos Guararapes",Brazil
238,Paul,Elliot,"2331 Thutlwa St",Giyani,"South Africa"
239,Marion,Dominguez,"Via Schliffras 23",Gattikon,Switzerland
240,Luna,Slayden,"Rosa de los Vientos 78",Chillón,Spain
241,Glenn,Craft,"94 rue de Raymond Poincaré",NEUILLY-SUR-SEINE,France
242,Scott,Taylor,"Dijkstraat 392",Ekeren,Belgium
243,Fredric,Bye,"Schuepisstrasse 84",Humlikon,Switzerland
244,Stephen,Saez,"98 rue Levy",Montreal,Canada
245,David,Carter,"1798 Bhoola Rd","East London","South Africa"
246,Ronald,Morales,"Letališka 20",Jelšane,Slovenia
247,Bobby,Spencer,"Lillesäter Kullberg 27",NATTAVAARABY,Sweden
248,Mathew,Kirby,"Hegedûs Gyula utca 46.",Bánk,Hungary
249,Paul,Rogers,"Schmarjestrasse 45",Perasdorf,Germany
250,Donna,Smith,"49 avenue de Bouvines",SEDAN,France
251,Helen,Kimbrell,"Gartenhof 84",Ascona,Switzerland
252,Douglas,Rhodes,"1881 Stonecoal Road",Mansfield,"United States"
253,Justin,Green,"249 Sayer Street",Dinsdale,"New Zealand"
254,Sammie,Smith,"Tuvslettvegen 132",HARSTAD,Norway
255,James,Nelson,"92 rue de l'Epeule",ROUEN,France
256,Wilbert,Stoffel,"58 rue des lieutemants Thomazo",DOUAI,France
257,Angela,Lucas,"Via Altisio 27",Solothurn,Switzerland
258,Kari,Johnson,"806 Little Street",Akron,"United States"
259,Thelma,Gendreau,"89 Lewin Street","ARIAH PARK",Australia
260,Michael,Metz,"2354 Ireland St","White River","South Africa"
261,Shawnna,Hinton,"95 Rue St Ferréol",METZ,France
262,Jeffrey,Mansfield,"Rua Vasco Gama 76",Benavente,Portugal
263,Cynthia,Stratton,"Travessa Adão Comasseto 1949","Santa Maria",Brazil
264,Ernest,Bowers,"Ziegelgasse 35",GRUB,Austria
265,Albert,Rauch,"101 Blackmore Drive",Glenholme,"New Zealand"
266,Georgia,Lockridge,"Paseo Junquera 79",Higueras,Spain
267,Jacob,Mitchell,"264 Nelson Mandela Drive",Pietersburg,"South Africa"
268,Scott,Love,"Fuglie 73",BÄLINGE,Sweden
269,Jessie,Murdock,"Rua Capelinha de São Caetano 1318",Salvador,Brazil
270,Alfred,Bunch,"Slovenčeva 55",Črnomelj,Slovenia
271,Florentino,Hardy,"Havlíčkova 1698",Sedlcany,"Czech Republic"
272,Pamela,Baer,"R José A Madeira 95",Portimão,Portugal
273,Sue,Lee,"34 Hudson Street",Tamarau,"New Zealand"
274,Stanley,Oldfield,"16 Rue Joseph Vernet",AVIGNON,France
275,Keith,Gehrke,"1563 Carriage Court","El Cajon","United States"
276,Michael,Sandoval,"769 Visser St",Virginia,"South Africa"
277,David,Herrick,"160 Matthew Street",Burnside,"New Zealand"
278,Heather,Andrade,"114 Iliou Street",Paralimni,"Cyprus (Anglicized)"
279,Bobbie,Brock,"Hakulintie 29",LUHANKA,Finland
280,Stefani,Rodriguez,"32 Coppinger Terrace",Halswell,"New Zealand"
281,Michael,Honaker,"12 Chemin Du Lavarin Sud",CALAIS,France
282,Gloria,Wright,"Postbox 101",Kangaatsiaq,Greenland
283,Kevin,Johnson,"Πόρτο Χέλι 103",ΤΑΥΡΟΥ,"Cyprus (Greek)"
284,Clarence,Morrison,"Tacuarembo 6872",Algorta,Uruguay
285,Tyrone,Linsley,"Rue du Monument 465",Anderlues,Belgium
286,Daniel,Phifer,"Fagradalsbraut 51",Egilsstaðir,Iceland
287,Madeline,Farrand,"ul. Braille'a Ludwika 19",Radom,Poland
288,Rudolph,Allen,"Colonia Ofir 9552","San Luis",Uruguay
289,Jerry,Rizzuto,"Potsdamer Platz 33",Scheidegg,Germany
290,Kamilah,Seymour,"Erlenweg 1",Benken,Switzerland
291,Robert,McMahon,"Schachterlweg 67",POITSCHACHGRABEN,Austria
292,Jessie,Ridgeway,"Witbakkerstraat 155",Sint-Katherina-lombeek,Belgium
293,Dean,Li,"R Sardinha 46",Paço,Portugal
294,Spencer,Dietrich,"ul. Przytorze 150",Szczecin,Poland
295,Melody,Haynes,"Ctra. de Siles 64","Antas de Ulla",Spain
296,John,Perez,"Pfaffacherweg 44",Schneisingen,Switzerland
297,Annette,Reed,"3540 47th Avenue",Grassland,Canada
298,Curtis,Evans,"65 Mildura Street","BINALONG BAY",Australia
299,Shamika,Young,"Gounodstraat 157",Alkmaar,Netherlands
300,Donna,Kolb,"Λεωφόρος Β. Αλεξάνδρου 37","ΑΚΤΗ ΚΥΒΕΡΝΗΤΗ","Cyprus (Greek)"
301,Fernando,Hatton,"Aven Ackers 381",Bouillon,Belgium
302,Felicitas,Johnson,"Rue de la Tannerie 412",Hatrival,Belgium
303,Kimberly,Hammond,"Al. Wojska Polskiego 80",Olsztyn,Poland
304,Karen,Contreras,"Jotneveien 76",SANDEFJORD,Norway
305,Jorge,Vicente,"4043 Hershell Hollow Road",Seattle,"United States"
306,Armando,Ferguson,"Nerudova 449",Borovany,"Czech Republic"
307,George,Todd,"Baltasar Brum 5520","La Paloma",Uruguay
308,Sandra,Whitehead,"Revninge Bygade 18","Sønder Omme",Denmark
309,Aleta,Tucker,"Männi 82",Väägvere,Estonia
310,Suzanna,Davis,"Hätilänkatu 2",LAHTI,Finland
311,Kenneth,Conover,"Bessenveldstraat 292",Mont-Gauthier,Belgium
312,Betty,Thomas,"141 Rue Ibn Al Khatib","Cite El Azima",Tunisia
313,Pauline,Clark,"Belgrád rkp. 40.",Sé,Hungary
314,Jennifer,Juhasz,"Egedius gate 166",DRAMMEN,Norway
315,Jessica,Reinhardt,"Avenida Escolas 28","São Martinho de Sardoura",Portugal
316,Lauri,Fontaine,"ul. Toruńska 150",Warszawa,Poland
317,Amy,Lewis,"ul. Krakowskie Przedmieście 99",Warszawa,Poland
318,Refugio,Wrobel,"Cruce Casa de Postas 10",Pampaneira,Spain
319,Patricia,Holcomb,"Postbox 87",Kangilinnguit,Greenland
320,Marietta,McDaniel,"Rákóczi út 85.",Alsóörs,Hungary
321,Dale,Smith,"1758 Jasper Avenue",Edmonton,Canada
322,Thelma,Swain,"Brisas 3804",Manantiales,Uruguay
323,Lavonda,Adair,"Rua Sete 1598","São Gonçalo",Brazil
324,Kayla,Punch,"Sondanella 131",Gruben,Switzerland
325,Steven,Evans,"Dadelvägen 12",SIBBHULT,Sweden
326,Timothy,Martinez,"Kankaanpääntie 59",KEMI,Finland
327,Elizabeth,Jobe,"928 Bo Meul St","Fish Hoek","South Africa"
328,Bertha,Harwood,"Sahantie 38",TAMPERE,Finland
329,Sarah,Smith,"Rauhankatu 33",HELSINKI,Finland
330,Earl,Zimmerman,"Carretera del Muelle 95",Segorbe,Spain
331,Harry,Dias,"Humala 77",Raka,Estonia
332,Jolene,Zimmerman,"Hausergasse 94",WÜRZENBERG,Austria
333,Seth,Apel,"Kolodvorska 15",Koper,Slovenia
334,Flora,Vazquez,"Juncal 8360","Cañada Nieto",Uruguay
335,Daniel,Nichols,"Baltasar Brum 8154","La Floresta",Uruguay
336,Natasha,Banks,"Napparngummut 127",Tasiilaq,Greenland
337,Brent,Esparza,"1575 St Jean Baptiste St","Mont Louis",Canada
338,Glenda,Riojas,"Colombes 3825",Progreso,Uruguay
339,James,Williams,"201 Essex Street","New Plymouth Central","New Zealand"
340,Joeann,McFarlin,"Rua Landell de Moura 598","Rio de Janeiro",Brazil
341,Robert,Evans,"Varparannantie 27",LIEKSA,Finland
342,Samuel,Tang,"76 Cunnery Rd",MANCHESTER,"United Kingdom"
343,Anna,Lovell,"1016 Grey Rd",Feversham,Canada
344,Alexander,Williams,"Avenida Paris 59","Azenha da Carrasca",Portugal
345,Joanne,Almodovar,"2324 Flanigan Oaks Drive",Bethesda,"United States"
346,Michael,John,"Gosposka ulica 85","Nova vas",Slovenia
347,Ernestine,Hall,"1923 Capitol Avenue",Indianapolis,"United States"
348,Stephen,Sowell,"Pfarrgasse 38",MITTERFELD,Austria
349,Curtis,McMahon,"Sofie Hartmanns vei 202",KONGSBERG,Norway
350,Fred,Chaffins,"Industriestraat 371",Dampremy,Belgium
351,Agnes,Clark,"Larrañaga 2888",Lagomar,Uruguay
352,William,Burkhart,"82 rue Victor Hugo",CONFLANS-SAINTE-HONORINE,France
353,Thomas,Burk,"5 Alderney Mews",Redwood,"New Zealand"
354,Lillian,Singer,"Casa Gielgia 17",Neuchâtel,Switzerland
355,Kim,Weber,"Fjolnisgata 95",Akureyri,Iceland
356,Sandra,Sollars,"Doktordalvegen 106",TROMSØ,Norway
357,Robert,Parks,"Nánási út 96.",Som,Hungary
358,Alan,Jacobson,"93 Rue De La Liberté","Cite El Hafsia",Tunisia
359,Mercy,Porch,"2792 Heritage Drive",Calgary,Canada
360,Sabrina,Stotler,"Via Sacchi 113","Brenno Useria",Italy
361,Lynn,Harris,"Estrada Nacional 111",Amoreira,Portugal
362,Roland,McNab,"Gartenweg 20",AINWALDING,Austria
363,Lawrence,Glasgow,"Diemröth 43",EICHELWANG,Austria
364,Jennifer,Worley,"988 Pinewood Drive",Chicago,"United States"
365,Brenda,Nichols,"Rua Cabral Antunes 18",Cadaval,Portugal
366,Joseph,Meyer,"Arenales 6163",Montevideo,Uruguay
367,Hazel,Aparicio,"2 Sunraysia Road","CAMBRIAN HILL",Australia
368,Shirley,Gary,"Villagatan 40",SOLBERG,Sweden
369,Ruth,Moreno,"Kangasmoisionkatu 80",JYVÄSKYLÄ,Finland
370,Nicholas,Fields,"Δεληγιάννη 81","ΚΟΥΡΟΥ ΜΟΝΑΣΤΗΡΙ","Cyprus (Greek)"
371,Donald,Anderson,"Tompa u. 85.",Bököny,Hungary
372,Roland,Stith,"Ilichova 116",Ljubljana,Slovenia
373,Jessica,Hancock,"9 Rue Mohammed Slim","Menzel Hedi Chaker",Tunisia
374,John,Pollock,"Avenida Marquês Tomar 40",Lisboa,Portugal
375,Terry,Harris,"1299 Apple Lane",Davenport,"United States"
376,Mason,Jordan,"Quadra CNB 08 1944",Taguatinga,Brazil
377,David,Newland,"84 A Avenue",Edmonton,Canada
378,Jenny,Hall,"Οδός Μάκρη 203","∆ΡΥΣ ΠΑΝΩ","Cyprus (Greek)"
379,Lisa,Boulay,"Visiokatu 85",KANKAANPÄÄ,Finland
380,Margot,Moses,"Pfarrgasse 65",MITTERBUCH,Austria
381,Eduardo,Cerda,"54 Rue Ibn Al Jazzar","Redeyef Gare",Tunisia
382,Delores,Martin,"Backsippestigen 78",MJÖLBY,Sweden
383,Robert,Marsh,"Coronilla 9550","Florencio Sánchez",Uruguay
384,Norma,Martino,"Faerberplatz 38",STRASS,Austria
385,Shanice,Dye,"Oosterduinweg 118",IJmuiden,Netherlands
